==PROF== Connected to process 4782 (/home/ubuntu22/CudaLearing/Kernel_Optimazation/gemv/build/gemv_bench)
==PROF== Disconnected from process 4782
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"5","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.59"
"5","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.94"
"5","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"5","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.56"
"6","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.22"
"6","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.81"
"6","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"6","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.56"
"7","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.65"
"7","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.89"
"7","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"7","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.57"
"8","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.49"
"8","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","96.02"
"8","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"8","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.56"
"9","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.48"
"9","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","96.00"
"9","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"9","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.54"
"10","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.09"
"10","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.97"
"10","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"10","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.55"
"11","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.77"
"11","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.71"
"11","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"11","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.57"
"12","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.57"
"12","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.93"
"12","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"12","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.55"
"13","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.59"
"13","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.88"
"13","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"13","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.56"
"14","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.34"
"14","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.86"
"14","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__inst_executed.sum","inst","29,519,872"
"14","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","smsp__warps_active.avg.pct_of_peak_sustained_active","%","46.57"
"15","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","18.65"
"15","4782","gemv_bench","127.0.0.1","<unnamed>::gemv_baseline_kernel(const float *, const float *, float *, int, int)","1","7","(1, 1, 1)","(4096, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","95.76"
